id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,color,size,gender,material,sku,custom_number_1
5278,Tour de 2 días a Reserva Paisajística Nor Yauyos-Cochas desde Lima con lagunas y cascadas,Tour de 2 días a Reserva Paisajística Nor Yauyos-Cochas desde Lima con lagunas y cascadas,in stock,new,118901 CLP,,https://www.tur.com/es/lima/tour-de-2-huancaya-lima,https://d6myp1633h7qr.cloudfront.net/products/e29c7b85-dd73-4575-93ed-91d86d185845.webp,,Tur,,Lima,,,,,5278,f11fb7a4-8386-4aaf-b072-e3d132153117
5276,"Tour Islas Ballestas, Ica y Huacachina desde Lima","Tour Islas Ballestas, Ica y Huacachina desde Lima",in stock,new,66364 CLP,,https://www.tur.com/es/lima/tour-islas-ballestas-ica-huacachina-desde-lima,https://d6myp1633h7qr.cloudfront.net/products/0eb6c012-a844-46e9-8317-26e11606b8dc.webp,,Tur,,Lima,,,,,5276,0a151269-3d7a-4158-8c44-813848dc9a51
5275,Entrada al Bar de Hielo Yeti IceBar en Calafate,Entrada al Bar de Hielo Yeti IceBar en Calafate,in stock,new,16658 CLP,,https://www.tur.com/es/el-calafate/entrada-bar-hielo-icebar-calafate-yeti,https://d6myp1633h7qr.cloudfront.net/products/02e1396d-b748-46d5-a872-2415ac65e3e0.webp,,Tur,,El Calafate,,,,,5275,56b15b29-4827-430f-94b5-33697604e612
5274,Excursión nocturna a Arraial d’Ajuda desde Porto Seguro,Excursión nocturna a Arraial d’Ajuda desde Porto Seguro,in stock,new,25983 CLP,,https://www.tur.com/es/porto-seguro/excursion-nocturna-arraial-dajuda-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/e43f8ac4-e31a-4156-9645-cf21a180bf84.webp,,Tur,,Porto Seguro,,,,,5274,99c5c8d9-e5a1-4f4c-a917-9d39c9ecab9e
5273,Visita guiada por el centro histórico de Porto Seguro,Visita guiada por el centro histórico de Porto Seguro,in stock,new,12760 CLP,,https://www.tur.com/es/porto-seguro/visita-guiada-centro-historico-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/1ac76ec5-5a2d-409f-b387-83b369a89dad.webp,,Tur,,Porto Seguro,,,,,5273,4b8e4b38-7f53-4512-8ac0-08801789c034
5272,Bautismo de buceo en Porto Seguro con instructor PADI,Bautismo de buceo en Porto Seguro con instructor PADI,in stock,new,48718 CLP,,https://www.tur.com/es/porto-seguro/bautismo-buceo-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/3fda0782-1733-4009-ac8c-990b2144d519.webp,,Tur,,Porto Seguro,,,,,5272,98cf6deb-27aa-4650-98e3-087042768a22
5271,Traslado aeropuerto a centro de Porto Seguro,Traslado aeropuerto a centro de Porto Seguro,in stock,new,10440 CLP,,https://www.tur.com/es/porto-seguro/traslado-aeropuerto-porto-seguro-centro,https://d6myp1633h7qr.cloudfront.net/products/56ce2b38-d9e4-493f-98b4-df8eeb85a568.webp,,Tur,,Porto Seguro,,,,,5271,313af1b6-215a-4f48-a4e3-ba9108d5c433
5270,Traslado aeropuerto de Porto Seguro a Arraial d’Ajuda,Traslado aeropuerto de Porto Seguro a Arraial d’Ajuda,in stock,new,33639 CLP,,https://www.tur.com/es/porto-seguro/traslado-aeropuerto-porto-seguro-arraial-d-ajuda,https://d6myp1633h7qr.cloudfront.net/products/cc6a5c6c-66ac-4dfb-a13d-6c82aa671e5e.webp,,Tur,,Porto Seguro,,,,,5270,2e49ba21-9442-45e9-86ed-9b852847e5d9
5269,Excursión reserva indígena Pataxó da Jaqueira desde Porto Seguro,Excursión reserva indígena Pataxó da Jaqueira desde Porto Seguro,in stock,new,34799 CLP,,https://www.tur.com/es/porto-seguro/excursion-reserva-pataxo-jaqueira-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/5667c77b-6cfb-4d45-b3dc-9732c7c0bbb5.webp,,Tur,,Porto Seguro,,,,,5269,7903dd30-9053-4f85-9b68-0feb0cbe1e6e
5268,Excursión Parque Marino Coroa Alta desde Porto Seguro en velero,Excursión Parque Marino Coroa Alta desde Porto Seguro en velero,in stock,new,35820 CLP,,https://www.tur.com/es/porto-seguro/excursion-coroa-alta-porto-seguro-velero,https://d6myp1633h7qr.cloudfront.net/products/c224fe98-eb82-4636-b315-a3be3b4b9462.webp,,Tur,,Porto Seguro,,,,,5268,cd87700e-38db-4267-9f0f-1f8908de6574
5267,Tour 2 días Paracas y Huacachina con Islas Ballestas y buggy en Lima,Tour 2 días Paracas y Huacachina con Islas Ballestas y buggy en Lima,in stock,new,130624 CLP,,https://www.tur.com/es/lima/tour-paracas-huacachina-2-dias-islas-ballestas-buggy,https://d6myp1633h7qr.cloudfront.net/products/2f80db09-1808-4994-9370-75b4ab4a5dff.webp,,Tur,,Lima,,,,,5267,3c938359-7996-478d-8ac0-766ba3730344
5266,Tour Amazonas Leticia y Puerto Nariño 4 días,Tour Amazonas Leticia y Puerto Nariño 4 días,in stock,new,1656977 CLP,,https://www.tur.com/es/search,https://d6myp1633h7qr.cloudfront.net/products/6b2da569-dad1-46ca-b3b2-633b8e78d0d2.webp,,Tur,,Leticia,,,,,5266,fc7a634e-13ee-433d-a8f5-76ae791828e3
5263,Tour por Pachacamac y Exhibición de Caballos Peruanos de Paso en Lima,Tour por Pachacamac y Exhibición de Caballos Peruanos de Paso en Lima,in stock,new,99545 CLP,,https://www.tur.com/es/lima/tour-pachacamac-caballos-paso-lima,https://d6myp1633h7qr.cloudfront.net/products/f3da8c8f-26a4-4c47-8926-40618512f497.webp,,Tur,,Lima,,,,,5263,4e900201-df65-436b-b72f-e152c73f005d
5260,Lancha rápida por Islas Palomino y nado con lobos marinos en Lima,Lancha rápida por Islas Palomino y nado con lobos marinos en Lima,in stock,new,70481 CLP,,https://www.tur.com/es/lima/tour-islas-palomino-lancha-rapida-nado-lobos-marinos,https://d6myp1633h7qr.cloudfront.net/products/78ddec66-eb88-45a3-9372-177b440f2395.webp,,Tur,,Lima,,,,,5260,64b3031a-1e9c-4b47-a123-f766c41befb1
5259,Traslado Aeropuerto Porto Seguro a Trancoso,Traslado Aeropuerto Porto Seguro a Trancoso,in stock,new,46398 CLP,,https://www.tur.com/es/porto-seguro/traslado-aeropuerto-porto-seguro-trancoso,https://d6myp1633h7qr.cloudfront.net/products/c51a61d9-ab38-4ac9-9fb4-327b1094f3f5.webp,,Tur,,Porto Seguro,,,,,5259,b5f5fb40-e900-4770-9a93-8e89bddd8c06
5258,Transporte entre el aeropuerto de Porto Seguro y Caraíva o Praia do Espelho,Transporte entre el aeropuerto de Porto Seguro y Caraíva o Praia do Espelho,in stock,new,115995 CLP,,https://www.tur.com/es/porto-seguro/traslado-porto-seguro-praia-do-espelho-caraiva,https://d6myp1633h7qr.cloudfront.net/products/e0786b89-6c10-4dab-84c5-c208bc4b2682.webp,,Tur,,Porto Seguro,,,,,5258,13111f98-5a7f-4f5d-be3e-398fbd6b7d33
5257,Traslado entre Aeropuerto de Porto Seguro y Santa Cruz Cabrália,Traslado entre Aeropuerto de Porto Seguro y Santa Cruz Cabrália,in stock,new,30159 CLP,,https://www.tur.com/es/porto-seguro/traslado-aeropuerto-porto-seguro-santa-cruz-cabralia,https://d6myp1633h7qr.cloudfront.net/products/5594b005-f867-4f3c-ad40-e221d527f86e.webp,,Tur,,Porto Seguro,,,,,5257,2667f851-2686-4313-958f-d84faad80f17
5256,Traslado aeropuerto Porto Seguro a Praia de Santo André,Traslado aeropuerto Porto Seguro a Praia de Santo André,in stock,new,46398 CLP,,https://www.tur.com/es/porto-seguro/traslado-aeropuerto-porto-seguro-praia-santo-andre,https://d6myp1633h7qr.cloudfront.net/products/8e005429-4222-4f56-9475-d7d84d08d50b.webp,,Tur,,Porto Seguro,,,,,5256,a47ce3ca-4f1d-4e6c-a4ea-f934c0934984
5255,Tour cultural e histórico en Campos do Jordão,Tour cultural e histórico en Campos do Jordão,in stock,new,26911 CLP,,https://www.tur.com/es/campos-do-jordao/tour-cultural-campos-do-jordao,https://d6myp1633h7qr.cloudfront.net/products/66db9656-b915-4a5c-b4f5-dc607ae90c82.webp,,Tur,,Campos do Jordão,,,,,5255,e7364602-9a6f-42a6-bd43-7e409de0dcfa
5254,Visita a vinícola Villa Santa Maria desde Campos do Jordão,Visita a vinícola Villa Santa Maria desde Campos do Jordão,in stock,new,37119 CLP,,https://www.tur.com/es/campos-do-jordao/vinicola-villa-santa-maria-campos-do-jordao,https://d6myp1633h7qr.cloudfront.net/products/b74b8bba-f0cb-4800-8e81-8bf9a8bb5a72.webp,,Tur,,São Paulo,,,,,5254,cee9f2c5-5059-40bb-b287-703bc7cbe92d
5253,Tour de 2 días a Cañón del Colca y la Cruz del Cóndor desde Arequipa,Tour de 2 días a Cañón del Colca y la Cruz del Cóndor desde Arequipa,in stock,new,44243 CLP,,https://www.tur.com/es/arequipa/tour-canon-del-colca-2-dias-desde-arequipa,https://d6myp1633h7qr.cloudfront.net/products/03f99db5-1500-4a37-911c-6b53269fb7f7.webp,,Tur,,Arequipa,,,,,5253,7bbceeb6-1926-4559-9f6d-c5104ad116ce
5252,Tour de 1 día en Islas Ballestas y Oasis Huacachina desde Lima,Tour de 1 día en Islas Ballestas y Oasis Huacachina desde Lima,in stock,new,60833 CLP,,https://www.tur.com/es/lima/tour-islas-ballestas-huacachina-desde-lima,https://d6myp1633h7qr.cloudfront.net/products/690362ee-7be6-4221-a8a3-ad5ba64f6d8a.webp,,Tur,,Lima,,,,,5252,0cbc23e5-cb57-4a73-85c8-8606f801bab0
5251,Tour de Gastronomía Local y Mercados Tradicionales en Lima,Tour de Gastronomía Local y Mercados Tradicionales en Lima,in stock,new,42289 CLP,,https://www.tur.com/es/lima/tour-gastronomia-mercados-lima,https://d6myp1633h7qr.cloudfront.net/products/2cbcd112-18c3-4ef4-8ad8-119023f220f5.webp,,Tur,,Lima,,,,,5251,4ae793be-fdd2-4055-8aa4-b9ebba8c125f
5250,Excursión en escuna al Parque Marino Recife de Fora desde Porto Seguro,Excursión en escuna al Parque Marino Recife de Fora desde Porto Seguro,in stock,new,48718 CLP,,https://www.tur.com/es/porto-seguro/excursion-recife-de-fora-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/be08b6b1-653e-4430-82f9-b95bbfa5ec70.webp,,Tur,,Porto Seguro,,,,,5250,7c01e97c-cadd-443c-a997-193b7367ac53
5249,Excursión a Caraíva desde Porto Seguro con guía profesional,Excursión a Caraíva desde Porto Seguro con guía profesional,in stock,new,44078 CLP,,https://www.tur.com/es/porto-seguro/excursion-caraiva-porto-seguro,https://d6myp1633h7qr.cloudfront.net/products/ed540056-bbbc-48d3-bfe0-1c09414cb85c.webp,,Tur,,Porto Seguro,,,,,5249,e1164ccc-80ba-4def-b03c-766f10bb29ed
5247,Tour Lago Titicaca Islas Uros y Taquile desde Puno,Tour Lago Titicaca Islas Uros y Taquile desde Puno,in stock,new,37330 CLP,,https://www.tur.com/es/puno/tour-lago-titicaca-uros-taquile-puno,https://d6myp1633h7qr.cloudfront.net/products/e5802189-68af-436d-9d25-6c5eed7c5336.webp,,Tur,,Puno,,,,,5247,24cd0252-7c4d-48ac-8d87-4917f08dbe40
5246,Cataratas del Iguazú: Excursión al lado Argentino y visita a Hito de las Tres Fronteras,Cataratas del Iguazú: Excursión al lado Argentino y visita a Hito de las Tres Fronteras,in stock,new,28250 CLP,,https://www.tur.com/es/puerto-iguazu/cataratas-iguazu-hito-tres-fronteras,https://d6myp1633h7qr.cloudfront.net/products/b26bd58f-2056-4597-8a23-8799d376586e.webp,,Tur,,Puerto Iguazú,,,,,5246,a4885d40-e35b-4247-892d-b173c2b37ff9
